Id,SKU,Type,Title,Subtitle,Product type name,Starting price,BIN price,Reserve price,Description,Description summary,Similar products,Image1,Image2,Image3,Image4,Image5,Image6,Web price,RRP price,eBay Category Id,eBay Category2 Id,QTY,Condition,Condition Description,Dispatch time,Delivery Service 1 Name,Delivery Service 1 Price,Delivery Service 1 Add Price,Delivery Service 2 Name,Delivery Service 2 Price,Delivery Service 2 Add Price,Delivery Service 3 Name,Delivery Service 3 Price,Delivery Service 3 Add Price,Delivery Service 4 Name,Delivery Service 4 Price,Delivery Service 4 Add Price,Delivery Service 5 Name,Delivery Service 5 Price,Delivery Service 5 Add Price,Apply Domestic Rate Table,Apply International Rate Table,Int Delivery Service 1 Name,Int Delivery Service 1 Price,Int Delivery Service 1 Add Price,Int Delivery Service 1 Countries,Int Delivery Service 2 Name,Int Delivery Service 2 Price,Int Delivery Service 2 Add Price,Int Delivery Service 2 Countries,Int Delivery Service 3 Name,Int Delivery Service 3 Price,Int Delivery Service 3 Add Price,Int Delivery Service 3 Countries,Int Delivery Service 4 Name,Int Delivery Service 4 Price,Int Delivery Service 4 Add Price,Int Delivery Service 4 Countries,Int Delivery Service 5 Name,Int Delivery Service 5 Price,Int Delivery Service 5 Add Price,Int Delivery Service 5 Countries,Exclude Postage Locations,Ship Also,Best Offer Enabled,Best Offer Accept,Best Offer Decline,Weight,VAT,Ref Id,Ref Type,Variation SKU,Variation QTY,Variation Price,Variation WebPrice,VariationImageBy,Variation EAN,Variation RRPPrice,Variation1 Name,Variation1 Value,Variation2 Name,Variation2 Value,Variation3 Name,Variation3 Value,Variation4 Name,Variation4 Value,Variation5 Name,Variation5 Value,Variation6 Name,Variation6 Value,Compatibility1Name,Compatibility1Value,Compatibility2Name,Compatibility2Value,Compatibility3Name,Compatibility3Value,Compatibility4Name,Compatibility4Value,Compatibility5Name,Compatibility5Value,Compatibility6Name,Compatibility6Value,Compatibility7Name,Compatibility7Value,Compatibility8Name,Compatibility8Value,CompatibilityNotes,Item Specifics 1 Name,Item Specifics 1 Value,Item Specifics 2 Name,Item Specifics 2 Value,Item Specifics 3 Name,Item Specifics 3 Value,Item Specifics 4 Name,Item Specifics 4 Value,Item Specifics 5 Name,Item Specifics 5 Value,Item Specifics 6 Name,Item Specifics 6 Value,Item Specifics 7 Name,Item Specifics 7 Value,Item Specifics 8 Name,Item Specifics 8 Value,Item Specifics 9 Name,Item Specifics 9 Value,Tag,GMO Brand,GMO MPN,GMO Category
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,16544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,33096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,54928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,28450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,28451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,13916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,14652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,14653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,16359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,16581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,17720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,17877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,17878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,19305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,19306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,20769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,18860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,9595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,10565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,15498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,15857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,15858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,15859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DN10x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,18562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
